RentalID,ItemID,MemberID,StartDt,EndDt,Fee
1,90,71693,2019-01-05,2020-12-29,2387
2,79,16004,2019-09-14,2025-12-27,4596
3,161,84211,2022-04-16,2023-02-19,4572
4,120,3568,2024-05-04,2025-03-27,4865
5,75,16004,2022-06-26,2023-09-29,144
6,173,84211,2023-05-23,2024-11-08,2257
7,93,56507,2024-01-02,2025-03-17,3532
8,154,19734,2019-01-14,2020-04-01,201
9,170,27722,2019-10-30,2025-04-28,2921
10,91,44130,2023-11-19,2025-08-04,4440
11,72,21539,2019-08-19,2024-11-06,3284
12,74,49536,2019-10-01,2025-05-17,252
13,162,35696,2020-05-27,2022-02-20,4588
14,47,71693,2024-06-29,2024-09-15,3380
15,97,44130,2021-01-18,2022-08-20,4577
16,6,2996,2022-08-27,2023-11-01,3229
17,98,3907,2022-07-14,2023-11-30,2848
18,24,8104,2023-06-15,2024-04-20,863
19,65,11680,2020-03-12,2021-08-11,3036
20,131,27722,2020-05-06,2025-06-20,1439
21,95,78850,2019-03-28,2023-10-11,1103
22,87,19734,2021-10-20,2023-11-24,4527
23,32,27219,2023-07-13,2024-06-15,3196
24,173,96282,2020-07-22,2021-11-30,3081
25,185,42592,2021-07-23,2024-08-06,2789
26,95,84211,2019-04-23,2023-05-03,2744
27,78,7549,2019-12-11,2023-11-27,1054
28,97,7613,2021-06-14,2025-04-04,3321
29,63,74283,2019-04-09,2022-07-07,2205
30,89,3907,2023-09-16,2024-10-19,4350
31,152,2996,2021-06-16,2023-09-07,2371
32,102,56507,2023-02-19,2023-05-25,2447
33,20,27219,2024-05-21,2025-09-21,4133
34,73,21539,2023-08-17,2025-03-17,1712
35,92,43921,2022-09-20,2025-11-17,3938
36,142,43921,2022-04-23,2025-12-31,4595
37,80,31654,2022-12-23,2025-07-03,4912
38,147,42592,2021-08-27,2024-03-12,3468
39,35,29137,2023-12-08,2024-06-01,808
40,170,83412,2024-10-28,2024-12-14,3493
41,14,44914,2023-04-20,2024-08-28,2901
42,37,96282,2021-11-01,2023-02-11,4332
43,192,29137,2023-08-31,2023-11-14,2101
44,159,84887,2023-01-05,2025-05-04,2118
45,172,21539,2021-10-09,2022-10-29,1937
46,189,30193,2022-02-14,2022-12-21,1614
47,182,45261,2020-03-06,2021-12-27,442
48,45,74283,2022-05-03,2025-01-17,2980
49,99,58960,2022-01-23,2024-12-03,4176
50,95,63032,2020-03-06,2021-12-24,4117
51,144,78850,2019-11-03,2023-07-09,840
52,158,44914,2019-09-22,2023-09-28,3371
53,158,96018,2020-03-12,2025-07-04,3729
54,61,44130,2024-08-04,2025-01-05,751
55,60,7549,2023-08-13,2023-12-31,4233
56,10,3568,2021-09-09,2023-09-15,699
57,51,35696,2023-02-10,2024-03-25,3587
58,109,41794,2019-09-17,2022-09-18,521
59,121,4355,2019-06-09,2021-09-03,3127
60,41,39919,2020-12-10,2023-06-17,4936
61,110,11680,2022-05-27,2023-01-12,671
62,51,868,2023-07-19,2025-12-15,4774
63,156,63510,2019-07-31,2021-06-07,1931
64,20,22752,2024-07-21,2025-05-14,3838
